,Player,Average Total Rebounds,Average Total Blocks,Average Total Points,Cluster
0,A.J. Hammons,1.6,0.6,2.2,1
1,Al Horford,6.92,1.16,12.56,2
2,Al Jefferson,5.75,0.75,10.92,2
3,Alan Williams,6.2,0.7,7.4,1
4,Alen Smailagić,1.9,0.3,4.2,1
5,Alex Kirk,0.2,0.0,0.8,1
6,Alex Len,5.07,0.9,6.42,1
7,Alexis Ajinça,4.57,0.67,5.93,1
8,Alperen Şengün,7.93,0.83,15.17,2
9,Amar'e Stoudemire,4.3,0.8,5.8,1
10,Amida Brimah,1.6,1.0,2.6,1
11,Amir Johnson,3.7,0.45,4.25,1
12,Anderson Varejão,3.52,0.32,3.78,1
13,Andre Drummond,12.23,1.22,13.3,2
14,Andrea Bargnani,3.25,0.55,10.7,1
15,Andrew Bogut,5.3,0.92,3.28,1
16,Ante Žižić,3.43,0.33,5.3,1
17,Anthony Davis,11.52,2.2,25.33,2
18,Anžejs Pasečņiks,2.5,0.2,2.9,1
19,Arinze Onuaku,2.15,0.3,2.5,1
20,Aron Baynes,4.93,0.51,6.71,1
21,Bam Adebayo,8.58,0.82,15.55,2
22,Bernard James,2.4,0.9,2.8,1
23,Bismack Biyombo,5.45,1.06,5.08,1
24,Blake Griffin,3.95,0.25,5.25,1
25,Boban Marjanović,3.48,0.27,5.46,1
26,Bobby Portis,8.1,0.55,13.0,2
27,Brendan Haywood,1.3,0.5,1.6,1
28,Brook Lopez,5.51,1.87,14.89,2
29,Bruno Caboclo,2.0,0.55,3.15,1
30,Bruno Fernando,2.97,0.49,3.93,1
31,Caleb Swanigan,1.0,0.3,0.7,1
32,Cameron Bairstow,1.6,0.2,1.9,1
33,Chance Comanche,3.0,1.0,7.0,1
34,Channing Frye,2.84,0.26,6.16,1
35,Charles Bassey,4.07,0.83,4.0,1
36,Cheick Diallo,3.4,0.15,4.2,1
37,Chet Holmgren,7.9,2.3,16.5,2
38,Chimezie Metu,3.9,0.4,6.78,1
39,Chinanu Onuaku,3.0,0.1,3.4,1
40,Chris Andersen,3.35,0.62,3.52,1
41,Chris Bosh,7.0,0.6,21.1,2
42,Chris Boucher,5.6,1.45,10.1,2
43,Chris Kaman,4.0,0.4,5.7,1
44,Christian Koloko,2.9,1.0,3.1,1
45,Christian Wood,9.0,1.1,18.5,2
46,Chuck Hayes,2.9,0.05,1.85,1
47,Clint Capela,10.26,1.44,11.65,2
48,Cody Zeller,5.61,0.54,7.78,1
49,Cole Aldrich,3.38,0.65,3.32,1
50,Colin Castleton,0.8,0.0,1.5,1
51,Cristiano Felício,3.63,0.18,3.83,1
52,Dakari Johnson,1.1,0.3,1.8,1
53,Damian Jones,2.83,0.61,4.22,1
54,Daniel Gafford,5.12,1.52,8.2,2
55,Daniel Ochefu,1.2,0.0,1.3,1
56,Daniel Oturu,1.65,0.45,2.4,1
57,Daniel Theis,4.23,0.75,7.13,1
58,Dario Šarić,3.83,0.13,8.03,1
