,Player,Average Total Rebounds,Average Total Blocks,Average Total Points,Cluster
0,Aaron Gordon,6.34,0.67,13.24,2
1,Adama Sanogo,4.0,0.0,4.0,1
2,Admiral Schofield,1.27,0.07,2.77,1
3,Adreian Payne,2.48,0.18,3.82,1
4,Al-Farouq Aminu,5.98,0.43,6.45,2
5,Alan Williams,4.0,0.23,3.5,1
6,Alec Peters,1.9,0.1,4.1,1
7,Aleksej Pokusevski,4.0,0.72,6.5,1
8,Alen Smailagić,1.1,0.3,1.9,1
9,Alex Poythress,3.03,0.27,5.6,1
10,Alex Stepheson,3.5,0.65,2.75,1
11,Alize Johnson,3.04,0.09,2.19,1
12,Amar'e Stoudemire,5.25,0.55,11.4,2
13,Amile Jefferson,1.55,0.25,1.55,1
14,Amir Johnson,5.7,0.9,7.7,2
15,Andre Iguodala,2.1,0.4,2.1,1
16,Andrew Nicholson,2.4,0.22,4.32,1
17,Andrew Wiggins,4.9,1.0,18.6,2
18,Anthony Bennett,2.8,0.13,3.9,1
19,Anthony Davis,9.62,2.35,25.1,2
20,Anthony Gill,1.88,0.22,3.58,1
21,Anthony Tolliver,2.6,0.21,4.85,1
22,Bam Adebayo,10.2,1.3,15.9,2
23,Ben Bentil,0.7,0.0,0.0,1
24,Ben Moore,0.5,0.0,0.0,1
25,Blake Griffin,6.74,0.39,18.84,2
26,Bobby Portis,6.85,0.32,11.68,2
27,Bojan Bogdanović,3.83,0.07,19.97,2
28,Bol Bol,2.78,0.62,4.92,1
29,Boris Diaw,3.2,0.23,6.57,1
30,Brandan Wright,3.27,1.04,5.97,1
31,Branden Dawson,0.7,0.2,0.8,1
32,Brandon Bass,3.9,0.47,7.8,1
33,Brandon Clarke,5.52,0.9,10.82,2
34,Brandon Davies,2.55,0.3,4.3,1
35,Brandon Ingram,6.1,0.6,23.8,2
36,Brice Johnson,1.47,0.3,2.03,1
37,Bruno Caboclo,3.45,0.65,5.55,1
38,Caleb Swanigan,3.4,0.18,2.48,1
39,Cameron Bairstow,0.4,0.1,0.6,1
40,Cameron Johnson,3.93,0.32,12.47,2
41,Carl Landry,3.95,0.25,8.5,1
42,Carlos Boozer,6.8,0.2,11.8,2
43,Carmelo Anthony,4.96,0.64,14.34,2
44,Chandler Parsons,1.4,0.2,2.8,1
45,Channing Frye,3.55,0.5,6.25,1
46,Charlie Villanueva,2.4,0.25,5.7,1
47,Cheick Diallo,4.53,0.43,5.33,1
48,Chimezie Metu,2.1,0.2,3.35,1
49,Chris Bosh,7.4,0.6,19.1,2
50,Chris Boucher,3.15,0.55,4.78,1
51,Chris Copeland,0.4,0.0,2.1,1
52,Chris McCullough,1.58,0.22,2.52,1
53,Chris Silva,1.77,0.23,1.85,1
54,Christian Wood,4.2,0.63,7.67,1
55,Chuma Okeke,4.5,0.55,8.2,1
56,Cliff Alexander,0.8,0.3,1.3,1
57,Corey Brewer,1.6,0.0,1.0,1
58,Cory Jefferson,2.45,0.25,3.25,1
59,D.J. Wilson,2.64,0.37,4.66,1
60,Daniel Gafford,6.9,1.9,11.2,2
61,Danilo Gallinari,4.22,0.15,12.68,2
62,Dante Cunningham,3.67,0.4,4.93,1
63,Dario Šarić,5.85,0.22,10.92,2
64,Darius Bazley,4.46,0.68,7.62,1
65,Darrell Arthur,2.65,0.45,5.82,1
66,David Lee,5.52,0.5,7.7,2
67,David Roddy,2.53,0.17,5.47,1
68,David Wear,1.0,0.0,0.0,1
69,David West,5.4,0.7,9.4,2
70,Day'Ron Sharpe,5.0,0.5,6.2,1
71,DeJuan Blair,1.9,0.0,1.9,1
72,DeMar DeRozan,4.7,0.25,24.75,2
73,DeMarre Carroll,5.9,0.25,12.3,2
74,Dean Wade,3.06,0.34,4.62,1
75,Deonte Burton,0.0,0.0,0.0,1
76,Derrick Favors,7.47,1.33,13.97,2
77,Derrick Jones Jr.,2.85,0.6,5.3,1
78,Derrick Williams,2.1,0.1,5.35,1
79,Devontae Cacok,2.2,0.35,2.55,1
80,Dirk Nowitzki,5.5,0.55,14.28,2
