,Player,Average Assists,Two-Point Percentage Average,Average Steals,Average Turnovers,Three-Point Percentage Average,Cluster
0,A.J. Price,1.7,43.33,0.23,0.5,12.83,2
1,Aaron Brooks,2.08,43.58,0.42,1.1,36.85,2
2,Aaron Holiday,2.21,44.97,0.63,0.96,38.34,2
3,Aaron Jackson,1.0,40.0,0.0,1.0,25.0,2
4,Alex Caruso,2.54,48.52,1.06,1.2,37.6,1
5,Amari Bailey,0.7,43.8,0.3,0.4,12.5,2
6,Andre Miller,2.98,55.58,0.42,1.18,21.4,2
7,Andrew Goudelock,0.5,72.7,0.8,0.9,11.1,2
8,Andrew Harrison,1.78,53.8,0.36,0.78,20.42,2
9,Andrew Nembhard,4.1,56.7,0.9,1.5,35.7,1
10,Anthony Black,1.3,51.0,0.5,0.8,39.4,2
11,Archie Goodwin,2.1,47.4,0.5,1.8,23.2,2
12,Armoni Brooks,0.75,39.3,0.3,0.3,31.1,2
13,Ashton Hagans,1.4,45.7,0.3,1.05,32.0,2
14,Ben Simmons,7.1,56.9,1.48,2.92,11.72,1
15,Beno Udrih,3.0,48.72,0.4,1.15,32.72,2
16,Bobby Brown,0.6,40.2,0.1,0.35,33.75,2
17,Bones Hyland,2.97,44.73,0.73,1.3,35.17,2
18,Brad Wanamaker,3.2,45.42,0.82,0.83,26.92,2
19,Brandon Goodwin,1.72,40.2,0.38,0.72,32.2,2
20,Brandon Jennings,4.38,41.05,0.72,1.45,30.72,1
21,Brandon Knight,2.86,48.06,0.66,1.54,31.18,2
22,Brandon Williams,2.45,42.8,0.55,1.4,24.6,2
23,Brian Roberts,1.42,44.38,0.25,0.55,36.0,2
24,Briante Weber,1.5,54.12,0.83,0.73,11.74,2
25,Bruce Brown,2.77,53.37,0.9,1.27,31.63,1
26,Bryce Cotton,0.67,61.63,0.43,0.83,17.5,2
27,C.J. Watson,2.7,42.6,0.77,1.13,33.23,2
28,CJ McCollum,5.37,50.33,1.03,2.1,40.4,1
29,Cade Cunningham,6.75,47.65,0.85,3.35,31.7,1
30,Cameron Payne,3.05,46.0,0.65,1.16,35.41,2
31,Carlik Jones,0.87,27.77,0.2,0.43,25.0,2
32,Cassius Winston,0.75,38.75,0.05,0.3,40.2,2
33,Cat Barber,1.0,0.0,0.0,0.3,0.0,2
34,Chasson Randle,1.58,37.7,0.48,0.66,29.02,2
35,Chris Chiozza,2.28,26.16,0.48,0.78,36.52,2
36,Chris Paul,8.76,51.89,1.73,2.22,37.41,1
