,Player,Average Total Blocks,Average Assists,Average Total Points,Cluster
0,AJ Griffin,0.15,0.65,5.65,2
1,Aaron Gordon,0.5,1.9,12.7,1
2,Aaron Henry,0.3,0.0,0.3,2
3,Aaron Nesmith,0.38,0.92,7.7,2
4,Abdel Nader,0.3,0.56,4.48,2
5,Adam Mokoka,0.0,0.4,2.9,2
6,Admiral Schofield,0.1,0.7,3.8,2
7,Al-Farouq Aminu,0.7,1.25,7.9,1
8,Alan Anderson,0.0,0.4,2.9,2
9,Alec Burks,0.4,3.1,16.1,1
10,Aleem Ford,0.0,0.4,2.8,2
11,Alex Fudge,0.0,0.0,3.25,2
12,Alfonzo McKinnie,0.14,0.28,3.48,2
13,Allen Crabbe,0.0,0.6,3.2,2
14,Alonzo Gee,0.15,0.6,3.4,2
15,Amen Thompson,0.6,2.6,9.5,1
16,Amir Coffey,0.15,1.1,5.0,2
17,Andre Iguodala,0.6,3.09,5.89,1
18,Andre Roberson,0.7,0.8,4.75,2
19,Andrei Kirilenko,0.0,0.1,0.4,2
20,Andrew White,0.1,0.4,4.6,2
21,Andrew Wiggins,0.73,2.44,18.63,1
22,Anthony Brown,0.08,0.85,3.82,2
23,Anthony Lamb,0.17,1.17,4.07,2
24,Arnoldas Kulboka,0.0,0.0,0.0,2
25,Ausar Thompson,0.9,1.9,8.8,1
26,Austin Daye,0.2,0.65,3.65,2
27,Axel Toupane,0.3,0.3,2.72,2
28,B.J. Johnson,0.08,0.08,3.75,2
29,Ben McLemore,0.2,0.8,10.1,2
30,Bennedict Mathurin,0.2,2.0,14.5,1
31,Bilal Coulibaly,0.8,1.7,8.4,1
32,Bojan Bogdanović,0.09,1.44,14.11,1
33,Bonzie Colson,0.1,0.4,4.9,2
34,Brandon Boston Jr.,0.15,0.65,5.85,2
35,Brandon Ingram,0.56,4.43,19.4,1
36,Brandon Miller,0.6,2.4,17.3,1
37,Braxton Key,0.32,0.52,3.0,2
38,Brian Bowen,0.1,0.0,0.75,2
39,Brice Sensabaugh,0.2,1.7,7.5,2
40,Bruce Brown,0.65,2.75,10.25,1
41,Bruno Caboclo,0.16,0.28,1.2,2
42,Buddy Boeheim,0.05,0.35,2.5,2
43,Buddy Hield,0.45,2.75,14.4,1
44,C.J. Miles,0.37,0.88,8.95,2
45,CJ Elleby,0.2,0.9,4.05,2
46,Caleb Houstan,0.1,0.55,4.05,2
47,Caleb Martin,0.4,1.5,8.0,2
48,Cam Reddish,0.34,1.21,9.21,2
49,Cam Whitmore,0.4,0.7,12.3,1
50,Cameron McGriff,0.3,1.0,4.7,2
51,Cameron Oliver,0.75,1.4,11.15,1
