,Player,Average Total Points,Average Steals,Average Turnovers,Average Assists,Cluster
0,A.J. Green,4.45,0.2,0.25,0.55,1
1,A.J. Lawson,3.03,0.1,0.17,0.2,1
2,Aaron Harrison,2.6,0.43,0.17,0.63,1
3,Aaron Wiggins,7.33,0.63,0.87,1.2,1
4,Adam Flagler,1.5,0.0,0.0,2.0,1
5,Adam Mokoka,1.1,0.1,0.4,0.4,1
6,Ade Murkey,0.0,0.0,0.0,0.0,1
7,Ahmad Caver,2.0,0.0,0.0,0.0,1
8,Alan Anderson,6.2,0.55,0.5,1.1,1
9,Alec Burks,10.14,0.59,1.02,1.82,1
10,Alex Caruso,8.75,1.7,1.4,3.75,2
11,Alexey Shved,9.3,0.6,1.1,2.2,1
12,Allen Crabbe,8.7,0.58,0.73,1.15,1
13,Allonzo Trier,8.7,0.25,1.35,1.55,1
14,Alondes Williams,0.35,0.0,1.15,0.0,1
15,Amir Coffey,5.13,0.37,0.47,1.03,1
16,Andre Dawkins,0.8,0.0,0.3,0.3,1
17,Andre Ingram,6.0,0.9,0.9,1.75,1
18,Andre Jackson Jr.,2.2,0.3,0.5,0.9,1
19,Andre Roberson,3.6,0.85,0.6,0.92,1
20,Andrew Funk,0.0,0.2,0.0,0.0,1
21,Andrew Nembhard,9.5,0.9,1.7,4.5,2
22,Anfernee Simons,13.48,0.42,1.5,2.83,2
23,Anthony Edwards,22.78,1.38,2.8,4.05,2
24,Anthony Morrow,6.68,0.45,0.25,0.6,1
25,Antonio Blakeney,7.6,0.3,0.6,0.9,1
26,Antonius Cleveland,1.7,0.3,0.57,0.1,1
27,Archie Goodwin,6.17,0.23,0.8,1.1,1
28,Armoni Brooks,8.7,0.55,0.85,1.35,1
29,Arron Afflalo,9.94,0.36,1.04,1.38,1
30,Austin Reaves,12.07,0.6,1.43,3.57,2
31,Austin Rivers,8.46,0.72,0.98,2.15,1
32,Avery Bradley,11.15,0.97,1.35,1.95,2
33,Ayo Dosunmu,9.87,0.83,1.33,3.03,2
34,Ben Gordon,6.2,0.3,1.0,0.9,1
35,Ben McLemore,8.12,0.56,1.01,0.89,1
36,Ben Sheppard,4.4,0.6,0.3,0.9,1
