,Team Name,Average Total Points,Average Field Goal Percentage,Average Free Throw Percentage,Average Steals,Average Blocks,Average Turnovers,Cluster
0,Atlanta Hawks,110.58,46.04,78.52,7.71,4.84,13.96,2
1,Boston Celtics,110.93,46.16,79.88,7.48,5.21,12.75,2
2,Brooklyn Nets,109.81,46.13,77.66,6.88,4.9,13.83,1
3,Charlotte Hornets,107.98,45.11,77.21,7.31,4.79,12.6,1
4,Chicago Bulls,107.23,46.02,78.78,7.55,4.46,13.14,1
5,Cleveland Cavaliers,107.9,46.73,76.21,7.0,3.98,13.22,1
6,Dallas Mavericks,108.67,45.88,76.7,6.67,4.11,11.92,1
7,Denver Nuggets,111.31,47.65,77.57,7.39,4.52,13.27,2
8,Detroit Pistons,105.74,44.87,74.73,7.15,4.23,13.4,1
9,Golden State Warriors,114.29,47.95,78.77,8.06,5.49,14.39,2
10,Houston Rockets,111.66,45.37,75.66,8.23,4.79,14.08,2
11,Indiana Pacers,110.35,47.34,77.81,8.07,5.23,13.21,2
12,LA Clippers,111.38,47.3,77.84,7.43,4.63,12.94,2
13,Los Angeles Lakers,110.18,46.7,74.71,7.58,5.04,14.14,2
14,Memphis Grizzlies,107.15,45.24,76.75,8.39,5.26,13.24,2
15,Miami Heat,106.56,46.17,77.27,7.43,4.52,13.09,1
16,Milwaukee Bucks,112.41,47.52,75.87,7.57,5.17,13.39,2
17,Minnesota Timberwolves,110.85,46.67,77.78,8.24,5.15,13.52,2
18,New Orleans Pelicans,111.24,46.96,76.48,7.89,4.78,13.75,2
19,New York Knicks,106.56,45.11,76.87,6.82,4.93,12.84,1
20,Oklahoma City Thunder,110.35,45.98,76.44,8.05,5.12,13.64,2
21,Orlando Magic,105.56,45.07,76.99,7.42,4.91,13.32,1
22,Philadelphia 76ers,109.65,46.4,77.83,8.04,5.43,13.81,2
23,Phoenix Suns,110.23,46.76,79.12,7.68,4.69,14.02,2
24,Portland Trail Blazers,109.82,45.53,78.98,7.0,4.89,13.2,1
25,Sacramento Kings,110.41,46.85,75.1,7.75,4.22,13.52,2
26,San Antonio Spurs,109.25,46.9,78.57,7.35,5.3,12.68,2
27,Toronto Raptors,109.61,45.95,78.77,8.27,5.13,12.46,2
28,Utah Jazz,109.4,46.62,77.29,7.05,5.07,14.01,2
29,Washington Wizards,110.95,47.04,77.27,7.7,4.56,13.53,2
